Verb,Description,GUI,WARNING
LayerRename, Rename the current layer,TRUE,WARNING: ignoring verb LayerRename - GUI required for this verb.
LayerNext, Switch to the layer above the current (Ctrl+Page Up),TRUE,WARNING: ignoring verb LayerNext - GUI required for this verb.
LayerPrev, Switch to the layer below the current (Ctrl+Page Down),TRUE,WARNING: ignoring verb LayerPrev - GUI required for this verb.
LayerMoveToNext, Move selection to the layer above the current (Shift+Page Up),TRUE,WARNING: ignoring verb LayerMoveToNext - GUI required for this verb.
LayerMoveToPrev, Move selection to the layer below the current (Shift+Page Down),TRUE,WARNING: ignoring verb LayerMoveToPrev - GUI required for this verb.
LayerMoveTo, Move selection to layer,TRUE,WARNING: ignoring verb LayerMoveTo - GUI required for this verb.
LayerToTop, Raise the current layer to the top (Shift+Ctrl+Home),TRUE,WARNING: ignoring verb LayerToTop - GUI required for this verb.
LayerToBottom, Lower the current layer to the bottom (Shift+Ctrl+End),TRUE,WARNING: ignoring verb LayerToBottom - GUI required for this verb.
LayerRaise, Raise the current layer (Shift+Ctrl+Page Up),TRUE,WARNING: ignoring verb LayerRaise - GUI required for this verb.
LayerLower, Lower the current layer (Shift+Ctrl+Page Down),TRUE,WARNING: ignoring verb LayerLower - GUI required for this verb.
LayerDuplicate, Duplicate an existing layer,TRUE,WARNING: ignoring verb LayerDuplicate - GUI required for this verb.
LayerDelete, Delete the current layer,TRUE,WARNING: ignoring verb LayerDelete - GUI required for this verb.
LayerSolo, Solo the current layer,TRUE,WARNING: ignoring verb LayerSolo - GUI required for this verb.
LayerShowAll, Show all the layers,TRUE,WARNING: ignoring verb LayerShowAll - GUI required for this verb.
LayerHideAll, Hide all the layers,TRUE,WARNING: ignoring verb LayerHideAll - GUI required for this verb.
LayerLockAll, Lock all the layers,TRUE,WARNING: ignoring verb LayerLockAll - GUI required for this verb.
LayerLockOthers, Lock all the other layers,TRUE,WARNING: ignoring verb LayerLockOthers - GUI required for this verb.
LayerUnlockAll, Unlock all the layers,TRUE,WARNING: ignoring verb LayerUnlockAll - GUI required for this verb.
LayerToggleLock, Toggle lock on current layer,TRUE,WARNING: ignoring verb LayerToggleLock - GUI required for this verb.
LayerToggleHide, Toggle visibility of current layer,TRUE,WARNING: ignoring verb LayerToggleHide - GUI required for this verb.
ObjectRotate90, Rotate selection 90° clockwise (Ctrl+]),TRUE,WARNING: ignoring verb ObjectRotate90 - GUI required for this verb.
ObjectRotate90CCW, Rotate selection 90° counter-clockwise (Ctrl+[),TRUE,WARNING: ignoring verb ObjectRotate90CCW - GUI required for this verb.
ObjectRemoveTransform, Remove transformations from object,TRUE,WARNING: ignoring verb ObjectRemoveTransform - GUI required for this verb.
ObjectToPath, Convert selected object to path (Shift+Ctrl+C),FALSE,NA
ObjectFlowText," Put text into a frame (path or shape), creating a flowed text linked to the frame object (Alt+W)",TRUE,WARNING: ignoring verb ObjectFlowText - GUI required for this verb.
ObjectUnFlowText, Remove text from frame (creates a single-line text object) (Shift+Alt+W),TRUE,WARNING: ignoring verb ObjectUnFlowText - GUI required for this verb.
ObjectFlowtextToText, Convert flowed text to regular text object (preserves appearance),TRUE,WARNING: ignoring verb ObjectFlowtextToText - GUI required for this verb.
ObjectFlipHorizontally, Flip selected objects horizontally (H),TRUE,WARNING: ignoring verb ObjectFlipHorizontally - GUI required for this verb.
ObjectFlipVertically, Flip selected objects vertically (V),TRUE,WARNING: ignoring verb ObjectFlipVertically - GUI required for this verb.
ObjectSetMask, Apply mask to selection (using the topmost object as mask),TRUE,WARNING: ignoring verb ObjectSetMask - GUI required for this verb.
ObjectSetInverseMask, Apply inverse mask to selection (using the topmost object as mask),TRUE,WARNING: ignoring verb ObjectSetInverseMask - GUI required for this verb.
ObjectEditMask, Edit mask,TRUE,WARNING: ignoring verb ObjectEditMask - GUI required for this verb.
ObjectUnSetMask, Remove mask from selection,TRUE,WARNING: ignoring verb ObjectUnSetMask - GUI required for this verb.
ObjectSetClipPath, Apply clipping path to selection (using the topmost object as clipping path),TRUE,WARNING: ignoring verb ObjectSetClipPath - GUI required for this verb.
ObjectSetInverseClipPath, Apply inverse clipping path to selection (using the topmost object as clipping path),TRUE,WARNING: ignoring verb ObjectSetInverseClipPath - GUI required for this verb.
ObjectCreateClipGroup, Creates a clip group using the selected objects as a base,TRUE,WARNING: ignoring verb ObjectCreateClipGroup - GUI required for this verb.
